,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Peso da Régua,6492,9237,12919,21805,896,2319,1163,923,1043,682
Sabrosa,6440,9235,12126,19021,317,934,486,400,366,168
Santa Marta de Penaguião,5406,8064,10700,17319,582,1233,492,385,373,175
São João da Pesqueira,5781,8765,11550,18736,480,1121,486,412,403,200
Sernancelhe,6581,9040,11679,18140,271,813,396,345,250,142
Tabuaço,5754,8890,11399,18704,325,746,338,244,250,141
Tarouca,6440,9150,12544,20175,413,981,473,415,460,210
Torre de Moncorvo,6274,9084,12599,20614,417,1146,542,474,490,273
Vila Nova de Foz Côa,5861,9031,12757,20492,477,966,477,464,436,241
Vila Real,7354,10553,16700,29171,2657,6199,3569,3120,4311,4043
Terras de Trás-os-Montes,6556,9550,13937,24081,6530,15508,7994,6563,8540,6009
Alfândega da Fé,6069,8956,11985,20074,297,747,346,273,274,184
Bragança,7380,10773,17104,28661,1869,4106,2498,2120,3306,2699
Macedo de Cavaleiros,6028,8971,12048,21262,975,2275,1030,772,909,633
Miranda do Douro,6854,9968,14910,23591,374,930,523,484,587,344
Mirandela,6613,9610,13952,23929,1271,3010,1609,1294,1648,1170
Mogadouro,6297,9032,12516,21396,539,1424,623,516,596,392
Vila Flor,6253,9065,12269,20104,393,883,461,360,376,207
Vimioso,6221,8997,12143,20104,280,705,299,277,294,147
Vinhais,6023,8896,11519,19280,532,1428,605,467,550,233
Centro,7749,10575,15364,25291,108320,300674,193634,172049,204941,139798
Oeste,7499,10233,14756,24371,19702,52398,31981,28197,32807,21551
Alcobaça,7847,10341,14421,23031,2544,8096,5250,4597,5103,2613
Alenquer,7975,10921,15967,25719,2049,5726,3867,3588,4433,2785
Arruda dos Vinhos,8571,11718,18268,30801,569,1581,1137,1068,1408,1295
Bombarral,7023,9713,13660,22561,720,1903,1097,949,998,599
Cadaval,7012,9725,14136,22508,729,1975,1024,1002,1127,598
Caldas da Rainha,7065,9943,14475,24338,3272,7602,4450,3901,4499,3242
Lourinhã,7051,9896,14092,23535,1525,3870,2298,1971,2227,1421
Nazaré,6905,9787,13661,21813,976,2282,1423,1247,1264,707
Óbidos,7016,9861,14240,23416,689,1744,986,850,992,683
Peniche,7520,10035,14329,23503,1479,3944,2356,2078,2360,1408
Sobral de Monte Agraço,7664,10510,15656,26219,532,1432,871,782,957,712
Torres Vedras,7497,10158,14776,25274,4618,12243,7222,6164,7439,5488
Região de Aveiro,7752,10693,15513,25580,18678,48370,32931,28771,34525,24099
Águeda,8026,10366,14518,23450,2109,6955,4564,3750,4295,2501
Albergaria-a-Velha,7989,10695,15180,24017,1163,3287,2288,2154,2441,1234
Anadia,7338,10145,14181,23104,1458,4131,2665,2208,2367,1476
Aveiro,8329,11843,18279,31285,3957,9063,6655,6215,8230,7953
Estarreja,7506,10610,15100,24241,1368,3468,2429,2108,2535,1443
Ílhavo,7693,11012,16368,27194,2124,4731,3376,3005,3781,2934
Murtosa,6164,9597,14095,23254,749,1242,750,661,813,496
Oliveira do Bairro,7613,10331,14790,23779,1107,3155,2044,1664,2127,1181
Ovar,7703,10565,15240,24807,2855,7541,5019,4465,5146,3401
Sever do Vouga,7559,10250,13985,22488,542,1648,1127,902,967,507
Vagos,7114,9908,13745,22158,1246,3149,2014,1639,1823,973
Região de Coimbra,8044,11055,16648,27712,20243,55444,36420,33339,42304,33527
Arganil,7295,9490,13059,19966,568,1801,933,871,816,360
Cantanhede,6960,9948,14174,23707,2048,4728,2945,2360,2915,1821
Coimbra,8808,12646,20450,35795,5858,15018,10797,10550,14686,16889
Condeixa-a-Nova,8622,12010,18174,29639,666,1757,1287,1294,1692,1378
Figueira da Foz,8152,11446,17297,28477,2912,7063,4942,4548,6228,4777
Góis,7354,9598,13120,19893,203,632,349,315,294,127
Lousã,7866,10829,16202,24958,793,2125,1378,1262,1718,970
Mealhada,8016,10996,15994,25731,914,2442,1751,1603,1976,1226
Mira,6724,9833,13929,22946,731,1667,1021,884,939,621
Miranda do Corvo,7651,10330,14585,22837,550,1645,1110,939,1091,519
Montemor-o-Velho,8373,11273,16297,25666,925,3030,2158,2014,2529,1458
Mortágua,7620,10014,13753,21676,457,1348,879,674,804,369
Oliveira do Hospital,7397,9501,13110,20303,883,3260,1626,1489,1462,688
