,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Alfândega da Fé,1826,1720,75,70,1289,1220,462,430
Bragança,9376,8863,578,562,6495,6170,2303,2131
Macedo de Cavaleiros,4962,4696,196,193,3429,3259,1337,1244
Miranda do Douro,2413,2274,91,87,1683,1595,639,592
Mirandela,6938,6560,249,237,4805,4567,1884,1756
Mogadouro,3234,3049,123,117,2214,2099,897,833
Vila Flor,2023,1927,76,75,1428,1367,519,485
Vimioso,1691,1562,71,68,1158,1078,462,416
Vinhais,3711,3482,171,169,2658,2498,882,815
Centro,722936,688869,42342,41174,500966,479611,179628,168084
Oeste,109711,104569,7780,7570,74533,71347,27398,25652
Alcobaça,19060,18238,1695,1669,12839,12308,4526,4261
Alenquer,12209,11552,824,800,8149,7738,3236,3014
Arruda dos Vinhos,3552,3392,192,187,2422,2327,938,878
Bombarral,4026,3823,232,230,2725,2595,1069,998
Cadaval,4610,4342,299,288,3100,2938,1211,1116
Caldas da Rainha,15504,14805,1005,973,10772,10352,3727,3480
Lourinhã,7810,7454,615,600,5284,5056,1911,1798
