,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Vila Nova de Famalicão,7846,9946,13990,21462,6159,21367,12057,11434,12181,4980
Vizela,7786,9237,12865,18594,1102,4563,2117,2272,1814,570
A. M. Porto,7440,10085,14613,23546,93099,256695,147926,135903,161047,91899
Arouca,6803,9151,12120,18691,1178,3698,1743,1551,1474,493
Espinho,7378,9947,14090,23148,1658,4811,2788,2426,2714,1632
Gondomar,7323,9889,14000,22096,8972,24801,14539,12828,15068,6776
Maia,8129,11216,17025,27276,6088,16766,10565,10423,14284,9538
Matosinhos,7958,10994,16268,26169,8431,22664,14324,14377,17890,11756
Oliveira de Azeméis,7879,10099,13907,21980,3021,10661,6603,5504,6494,2516
Paredes,6043,8713,11377,17799,6227,15168,6580,5886,5407,1948
Porto,7221,10568,16556,28864,14299,32191,17894,17107,22886,20676
Póvoa de Varzim,6600,9156,13320,21573,4054,10287,4970,4650,5158,2701
Santa Maria da Feira,7323,9682,13375,21149,7099,21933,12645,10502,11824,4882
Santo Tirso,7791,9654,13223,20004,3054,12099,6740,6054,5539,2263
São João da Madeira,7479,9829,13751,21976,1217,3747,2167,1813,2068,1061
Trofa,7809,10026,13838,21280,1806,6026,3716,3209,3596,1314
Vale de Cambra,7784,10136,14021,22080,937,3362,2107,1791,2019,837
Valongo,7500,10105,14443,22610,5095,13579,8201,7621,8985,4037
Vila do Conde,7267,9816,14236,22534,4152,12391,6563,6391,7156,3643
Vila Nova de Gaia,7548,10291,14854,23726,15811,42511,25781,23770,28485,15826
Alto Tâmega,5748,8639,11443,18817,6155,14104,5823,5007,5348,2266
Boticas,5494,8400,10317,16450,392,926,331,287,243,88
Chaves,6009,9131,12887,21199,2557,5706,2589,2350,2894,1394
Montalegre,5370,8290,10499,16955,800,1689,653,529,498,191
Ribeira de Pena,5852,8563,10618,16318,431,1106,472,345,297,115
Valpaços,5382,8049,10191,16099,1198,2618,964,752,755,216
Vila Pouca de Aguiar,6004,8634,11192,17699,777,2059,814,744,661,262
Tâmega e Sousa,6300,8684,11336,17544,26694,75633,30158,29405,24213,8372
Amarante,5929,8604,11185,18118,3786,9424,3630,3304,3156,1376
Baião,6225,8664,11200,17071,1057,3063,1298,1153,986,239
Castelo de Paiva,6780,9034,11628,17595,900,2880,1271,1165,980,238
Celorico de Basto,5748,8414,10441,16275,1197,3233,1163,1096,787,258
Cinfães,5416,8083,10036,15492,1408,3314,1216,947,757,275
Felgueiras,6974,8891,11611,17750,3161,11339,4478,4531,3633,1167
Lousada,6600,8707,11644,17612,2973,9064,3462,3868,2991,916
