,"Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros","Dias processados, HM, N.º","Dias processados, H, N.º","Dias processados, M, N.º"
Albergaria-a-Velha,2242,1028,1214,120579,48917,71662
Anadia,2176,930,1246,118718,46987,71731
Aveiro,8481,4089,4391,441884,190889,250995
Estarreja,2480,1261,1219,129669,55829,73840
Ílhavo,4374,2122,2252,234953,99352,135601
Murtosa,1023,593,430,52900,26645,26255
Oliveira do Bairro,1772,701,1072,98199,35657,62542
Ovar,7081,3303,3778,396214,166496,229718
Sever do Vouga,674,326,348,35519,15426,20093
Vagos,1757,667,1090,101549,34196,67353
Região de Coimbra,38858,18507,20351,2152151,936374,1215777
Arganil,745,325,421,43589,17164,26425
Cantanhede,2675,1194,1481,153630,61411,92219
Coimbra,13506,6770,6736,720644,336861,383783
