,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Salvaterra de Magos,750,750,0,431,431,0,0,667,630,0,0,37
Santarém,2172,2172,0,1216,1216,0,0,1876,1821,0,0,55
Alto Alentejo,3590,3589,0,1954,1933,0,0,3023,2853,0,0,96
Alter do Chão,105,105,0,52,52,0,0,77,66,0,0,11
Arronches,81,81,0,51,47,0,0,72,69,0,0,0
Avis,129,129,0,68,64,0,0,80,72,0,0,0
Campo Maior,380,380,0,194,185,0,0,307,280,0,0,0
Castelo de Vide,84,84,0,44,44,0,0,65,65,0,0,0
Crato,90,90,0,42,42,0,0,71,71,0,0,0
Elvas,880,880,0,476,476,0,0,725,662,0,0,50
Fronteira,75,75,0,51,51,0,0,89,89,0,0,0
Gavião,82,82,0,54,54,0,0,91,80,0,0,11
Marvão,64,64,0,33,33,0,0,47,47,0,0,0
Monforte,103,102,0,66,64,0,0,85,75,0,0,0
Nisa,119,119,0,75,75,0,0,94,94,0,0,0
Ponte de Sor,504,504,0,249,247,0,0,429,402,0,0,24
Portalegre,762,762,0,423,423,0,0,669,659,0,0,0
Sousel,132,132,0,76,76,0,0,122,122,0,0,0
Alentejo Central,5166,5164,0,2885,2830,0,0,4342,4150,0,0,108
Alandroal,124,124,0,63,63,0,0,101,101,0,0,0
Arraiolos,175,175,0,99,99,0,0,172,153,0,0,19
Borba,216,216,0,106,99,0,0,164,156,0,0,0
Estremoz,386,385,0,232,214,0,0,302,282,0,0,0
Évora,2007,2006,0,1157,1140,0,0,1708,1638,0,0,46
Montemor-o-Novo,503,503,0,244,244,0,0,395,375,0,0,15
Mora,94,94,0,54,54,0,0,93,93,0,0,0
Mourão,89,89,0,60,52,0,0,76,59,0,0,0
Portel,159,159,0,98,98,0,0,147,140,0,0,7
Redondo,199,199,0,114,114,0,0,157,157,0,0,0
Reguengos de Monsaraz,393,393,0,213,208,0,0,317,286,0,0,21
Vendas Novas,437,437,0,216,216,0,0,347,347,0,0,0
Viana do Alentejo,159,159,0,106,106,0,0,152,152,0,0,0
Vila Viçosa,225,225,0,123,123,0,0,211,211,0,0,0
Algarve,19180,19176,0,10323,10203,54,0,16142,15248,72,0,599
Albufeira,2083,2083,0,1090,1085,0,0,1594,1534,0,0,47
Alcoutim,45,45,0,33,33,0,0,46,46,0,0,0
Aljezur,261,261,0,121,121,0,0,178,178,0,0,0
Castro Marim,253,253,0,134,132,0,0,172,158,0,0,0
Faro,2738,2735,0,1438,1419,0,0,2325,2202,0,0,73
Lagoa,1051,1051,0,576,570,0,0,872,814,0,0,55
Lagos,1252,1252,0,703,703,0,0,1196,1159,0,0,10
Loulé,3295,3294,0,1731,1718,0,0,2746,2565,0,0,151
Monchique,150,150,0,77,77,0,0,134,134,0,0,0
Olhão,1701,1701,0,1032,1024,0,0,1534,1411,0,0,96
Portimão,2597,2597,0,1409,1353,54,0,2168,2006,72,0,67
São Brás de Alportel,437,437,0,240,240,0,0,392,378,0,0,14
Silves,1478,1478,0,736,731,0,0,1116,1077,0,0,30
Tavira,912,912,0,511,511,0,0,871,826,0,0,27
Vila do Bispo,262,262,0,102,102,0,0,109,109,0,0,0
Vila Real de Santo António,665,665,0,390,384,0,0,689,651,0,0,29
R. A. Açores,10139,9286,0,5645,5056,0,0,8513,7462,0,0,345
Santa Maria,194,179,0,109,105,0,0,188,172,0,0,6
Vila do Porto,194,179,0,109,105,0,0,188,172,0,0,6
São Miguel,6136,5541,0,3505,3114,0,0,5293,4660,0,0,212
Lagoa (R.A.A.),555,494,0,342,303,0,0,629,559,0,0,0
Nordeste,144,132,0,106,87,0,0,170,150,0,0,0
Ponta Delgada,3079,2851,0,1788,1627,0,0,2686,2371,0,0,149
Povoação,246,214,0,110,100,0,0,237,203,0,0,20
Ribeira Grande,1647,1446,0,918,790,0,0,1204,1057,0,0,43
Vila Franca do Campo,465,404,0,241,207,0,0,367,320,0,0,0
Terceira,2122,1978,0,1138,991,0,0,1669,1420,0,0,49
Angra do Heroísmo,1395,1289,0,727,615,0,0,1066,917,0,0,29
Vila da Praia da Vitória,727,689,0,411,376,0,0,603,503,0,0,20
Graciosa,171,151,0,81,81,0,0,134,105,0,0,11
Santa Cruz da Graciosa,171,151,0,81,81,0,0,134,105,0,0,11
São Jorge,281,260,0,155,154,0,0,259,221,0,0,32
Calheta (R.A.A.),121,118,0,64,64,0,0,120,100,0,0,14
Velas,160,142,0,91,90,0,0,139,121,0,0,18
Pico,562,536,0,254,240,0,0,393,363,0,0,23
Lajes do Pico,154,133,0,79,76,0,0,129,119,0,0,10
Madalena,294,290,0,105,96,0,0,181,168,0,0,13
São Roque do Pico,114,113,0,70,68,0,0,83,76,0,0,0
Faial,543,512,0,332,303,0,0,458,416,0,0,0
Horta,543,512,0,332,303,0,0,458,416,0,0,0
Flores,113,113,0,65,62,0,0,106,92,0,0,12
Lajes das Flores,30,30,0,23,23,0,0,0,0,0,0,0
Santa Cruz das Flores,83,83,0,42,39,0,0,106,92,0,0,12
Corvo,17,16,0,6,6,0,0,13,13,0,0,0
Corvo,17,16,0,6,6,0,0,13,13,0,0,0
R. A. Madeira,8423,8423,0,4997,4991,0,6,8274,8070,0,0,176
Calheta (R.A.M.),349,349,0,200,200,0,0,341,341,0,0,0
Câmara de Lobos,870,870,0,538,538,0,0,941,912,0,0,21
Funchal,4368,4368,0,2514,2514,0,0,4030,3945,0,0,85
Machico,605,605,0,360,360,0,0,621,595,0,0,15
Ponta do Sol,258,258,0,165,165,0,0,275,261,0,0,14
Porto Moniz,62,62,0,46,46,0,0,60,60,0,0,0
Ribeira Brava,412,412,0,247,247,0,0,454,434,0,0,20
Santa Cruz,1056,1056,0,648,642,0,6,1112,1089,0,0,14
Santana,151,151,0,97,97,0,0,136,136,0,0,0
São Vicente,123,123,0,81,81,0,0,141,141,0,0,0
Porto Santo,169,169,0,101,101,0,0,163,156,0,0,7
