,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Fafe,145,143,81,62,1,1,267,78,189,92,43,49,459,212,247
Guimarães,343,340,249,91,2,1,891,304,587,482,246,236,2686,1321,1365
Mondim de Basto,30,30,19,11,0,0,35,11,24,5,2,3,69,32,37
Póvoa de Lanhoso,46,45,45,0,0,1,153,47,106,47,29,18,337,186,151
Vieira do Minho,41,41,23,18,0,0,88,19,69,22,10,12,146,62,84
Vila Nova de Famalicão,381,378,199,179,3,0,741,236,505,549,330,219,2678,1432,1246
Vizela,63,62,43,19,0,1,107,34,73,55,28,27,264,130,134
A. M. Porto,5492,5405,3654,1725,51,36,10598,3206,7392,11339,5863,5476,57970,28176,29794
Arouca,66,66,38,28,0,0,132,41,91,7,4,3,126,68,58
Espinho,192,191,147,43,0,1,211,56,155,96,40,56,857,381,476
Gondomar,293,290,184,103,2,1,1076,304,772,499,228,271,3239,1522,1717
Maia,276,274,243,28,1,1,736,240,496,592,313,279,3796,1802,1994
Matosinhos,356,348,226,120,5,3,1037,324,713,1031,503,528,6311,2988,3323
Oliveira de Azeméis,160,160,82,78,0,0,432,123,309,171,89,82,1094,515,579
Paredes,170,170,66,104,0,0,470,182,288,212,107,105,961,457,504
Porto,1372,1326,1002,317,27,19,1488,401,1087,4803,2562,2241,18936,9576,9360
Póvoa de Varzim,339,333,231,101,6,0,377,122,255,490,250,240,2550,1255,1295
Santa Maria da Feira,380,376,211,163,2,2,823,245,578,345,164,181,2081,929,1152
Santo Tirso,237,236,117,116,1,0,473,123,350,94,41,53,647,281,366
São João da Madeira,121,119,85,33,1,1,148,47,101,224,115,109,1024,497,527
Trofa,134,133,59,74,1,0,230,69,161,171,113,58,776,430,346
Vale de Cambra,97,97,66,31,0,0,151,34,117,104,54,50,460,243,217
Valongo,344,342,235,107,2,0,512,184,328,292,136,156,1774,839,935
Vila do Conde,326,324,224,98,0,2,533,168,365,478,292,186,2834,1530,1304
Vila Nova de Gaia,629,620,438,181,3,6,1769,543,1226,1730,852,878,10504,4863,5641
Alto Tâmega,227,224,160,64,1,2,676,148,528,212,111,101,1398,688,710
Boticas,13,13,11,2,0,0,41,9,32,7,4,3,56,28,28
Chaves,120,117,80,37,1,2,287,86,201,119,56,63,728,320,408
Montalegre,26,26,19,7,0,0,79,11,68,14,7,7,100,48,52
Ribeira de Pena,10,10,7,3,0,0,33,4,29,21,17,4,118,85,33
Valpaços,33,33,26,7,0,0,137,18,119,26,8,18,188,74,114
Vila Pouca de Aguiar,25,25,17,8,0,0,99,20,79,25,19,6,208,133,75
Tâmega e Sousa,1544,1536,711,822,8,0,2290,665,1625,758,468,290,3528,1768,1760
Amarante,259,257,127,130,2,0,291,84,207,98,64,34,485,228,257
Baião,53,53,21,32,0,0,113,30,83,30,20,10,124,70,54
Castelo de Paiva,56,56,36,20,0,0,95,18,77,35,25,10,115,64,51
Celorico de Basto,62,62,33,29,0,0,126,24,102,15,6,9,100,43,57
Cinfães,35,35,16,19,0,0,126,30,96,41,37,4,126,80,46
Felgueiras,204,202,69,133,2,0,278,90,188,103,58,45,448,213,235
Lousada,196,196,62,133,0,0,252,88,164,139,103,36,513,313,200
Marco de Canaveses,212,210,110,99,2,0,262,81,181,99,54,45,504,235,269
Paços de Ferreira,164,163,67,96,1,0,311,107,204,84,43,41,434,195,239
Penafiel,266,266,148,117,0,0,370,100,270,109,57,52,623,297,326
Resende,37,36,22,14,1,0,66,13,53,5,1,4,56,30,26
Douro,536,535,294,240,0,1,1409,314,1095,395,219,176,2559,1256,1303
Alijó,26,26,14,12,0,0,103,18,85,10,3,7,93,40,53
Armamar,15,15,10,5,0,0,44,5,39,21,15,6,77,42,35
Carrazeda de Ansiães,14,14,8,6,0,0,58,9,49,20,9,11,136,75,61
Freixo de Espada à Cinta,4,4,3,1,0,0,31,2,29,5,1,4,98,50,48
Lamego,74,74,42,32,0,0,173,40,133,20,18,2,150,69,81
Mesão Frio,22,22,19,3,0,0,31,7,24,4,2,2,17,6,11
Moimenta da Beira,22,22,14,8,0,0,62,13,49,23,12,11,151,77,74
Murça,16,16,5,11,0,0,41,8,33,4,0,4,46,15,31
