,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2021","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2021","Índice de envelhecimento, N.º, 2021","Índice de renovação da população em idade ativa, N.º, 2021","Índice de dependência de idosas/os, N.º, 2021","Índice de longevidade, N.º, 2021","Relação de masculinidade, N.º, 2021","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2021","Idade média das mulheres ao nascimento do primeiro filho, anos, 2021","Idade média da mulher ao primeiro casamento, anos, 2021","Idade média do homem ao primeiro casamento, anos, 2021","Esperança de vida à nascença
, anos, 2019-2021","Esperança de vida aos 65 anos, anos, 2019-2021"
Madalena,5,0.33,147.7,76.4,30.9,47.5,94,110,x,x,x,x,x
São Roque do Pico,0,0.43,166.7,58.2,32.8,45.5,94.5,366.7,x,x,x,x,x
Faial,7.8,0.53,152.4,75.2,30.4,42.7,94.2,153.3,x,x,x,x,x
Horta,7.8,0.53,152.4,75.2,30.4,42.7,94.2,153.3,x,x,x,x,x
Flores,33.3,0.38,161.1,69,29.5,46.4,101.9,160,x,x,x,x,x
Lajes das Flores,50,0.71,184.6,69.7,30,46.2,106.6,233.3,x,x,x,x,x
Santa Cruz das Flores,0,0.15,147.6,68.4,29.2,46.5,98.7,50,x,x,x,x,x
Corvo,0,0.51,116.7,84,22.3,39.7,113.4,0,x,x,x,x,x
Corvo,0,0.51,116.7,84,22.3,39.7,113.4,0,x,x,x,x,x
R. A. Madeira,12.2,0.66,161.3,68.4,30.1,45.1,88.4,117.4,30.3,32.7,34.7,78.55,17.76
Calheta (R.A.M.),26.3,1.37,221.2,59.3,40.6,50.3,84.9,130.8,x,x,x,x,x
Câmara de Lobos,6.3,0.17,103.6,93.4,21.9,41.6,91.5,111.5,x,x,x,x,x
Funchal,6.9,0.82,185.9,62.5,33.1,44.9,86.7,128.7,x,x,x,x,x
Machico,16.3,0.4,189.4,63.9,30.9,43.9,93.3,113.5,x,x,x,x,x
Ponta do Sol,17.8,0.95,180.7,76.8,32.8,49.5,85.8,105.1,x,x,x,x,x
Porto Moniz,15.8,0.36,327.4,54.8,49.1,49.4,79.2,50,x,x,x,x,x
Ribeira Brava,10.4,0.49,168.8,75.3,31.5,48.2,83.5,106.7,x,x,x,x,x
Santa Cruz,14.3,0.52,100.2,75.7,21,42.2,91.7,97.3,x,x,x,x,x
Santana,15.8,0.21,300.3,51.8,47.4,51.9,83.3,100,x,x,x,x,x
São Vicente,42.9,0.76,264.8,55.6,43.7,47.6,85.6,105.6,x,x,x,x,x
Porto Santo,7.4,1.72,172.9,55.8,27.1,40.2,96.9,93.5,x,x,x,x,x
