,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Beira Baixa,17.3,-0.23,-1.3,1.07,6,19,1.5,1.2,31.6,9.7,1.19,36.3,62.5,8.4
Castelo Branco,36.2,0.03,-0.88,0.91,6.7,15.5,1.9,1.5,33,x,x,38.2,61.6,8.1
Idanha-a-Nova,5.6,-1.47,-2.69,1.23,6,32.9,0.8,0.5,37.7,x,x,30.8,68.8,16.7
Oleiros,10.6,0.12,-1.48,1.6,3.4,18.2,1,0.8,20.5,x,x,31.4,47.1,0
Penamacor,8.4,-0.65,-2.03,1.37,5.5,25.7,0,0.2,34.7,x,x,31.3,69.2,0
Proença-a-Nova,18.3,-0.76,-1.87,1.11,4.4,23.1,1.2,1.1,23.6,x,x,35.6,59.4,11.1
Vila Velha de Ródão,9.5,-0.06,-1.88,1.81,4.5,23.2,0,0.6,24.2,x,x,34.3,78.6,0
Médio Tejo,69.8,0.34,-0.88,1.22,6.5,15.3,1.6,1.8,31.5,7.2,1.17,39.1,59.9,12.2
Abrantes,48.9,-0.49,-1.16,0.68,5.6,17.3,1.4,1.9,30.8,x,x,35.2,67.7,12.5
Alcanena,101.1,0.48,-0.66,1.14,6.5,13.1,2.1,1.8,32.1,x,x,38.3,62.7,7.4
Constância,50.4,0.52,-0.89,1.41,7.4,16.3,2.5,2.7,29.9,x,x,46.4,60,0
Entroncamento,1596.9,1.68,-0.25,1.93,7.8,10.3,1.2,1.6,33.4,x,x,44,64.1,0
Ferreira do Zêzere,41.8,-0.08,-1.45,1.37,5.3,19.7,1.8,1.9,25.2,x,x,39.8,57.1,7.1
Mação,15.5,-1.19,-2.41,1.22,4.3,28.4,0.8,0.6,24.8,x,x,33.7,74.1,20
Ourém,106.5,0.74,-0.61,1.35,7.3,13.4,1.6,1.7,33.3,x,x,41.5,45.7,16.9
Sardoal,40.3,-0.64,-2.04,1.39,4.3,24.7,2.4,1.6,19.9,x,x,42.1,87.5,0
Sertã,32.6,-0.09,-1.04,0.95,6.4,16.8,1.2,1.2,32.2,x,x,37.6,59.1,12.5
Tomar,104.7,0.07,-1,1.07,5.4,15.5,2,2.1,28,x,x,36.8,58.5,15.1
Torres Novas,130,0.47,-0.65,1.13,7.4,13.9,0.8,1.8,35.9,x,x,39.4,62.3,14.3
Vila de Rei,17.4,0.45,-1.95,2.4,5.1,24.6,1.2,0.6,22.5,x,x,41.6,70.6,25
Vila Nova da Barquinha,152.4,1.17,-0.67,1.84,6.7,13.3,5.2,2,32.2,x,x,40.2,78,12.8
