Distrito,Municipio,Freguesia (Simpli),DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Edifícios Clássicos Total,Edifícios Clássicos com 1 ou 2 Alojamentos,Edifícios Clássicos com 3 ou Mais Alojamentos,Edifícios Exclusivamente Residenciais,Edifícios com 1 ou 2 Pisos,Edifícios com 3 ou Mais Pisos,Edifícios Construídos Antes de 1945,Edifícios Construídos Entre 1946 e 1980,Edifícios Construídos Entre 1981 e 2000,Edifícios Construídos Entre 2001 e 2010,Edifícios Construídos Entre 2011 e 2021,Edifícios com Necessidade de Reparação,Alojamentos Total,Alojamentos Familiares,Alojamentos Familiares Habituais,Alojamentos Familiares Vagos ou Secundários,Alojamentos Habituais Acessíveis a Cadeiras de Rodas,Alojamentos Habituais com Estacionamento,Alojamentos Habituais Propriedade dos Ocupantes,Alojamentos Habituais Arrendados,Agregados Domésticos Privados Total,Agregados Domésticos de 1 ou 2 Pessoas,Agregados Domésticos de 3 ou Mais Pessoas,Núcleos Familiares Total,Núcleos Familiares com Filhos,Indivíduos Total,Indivíduos Masculinos,Indivíduos Femininos,Indivíduos de 0 a 14 Anos,Indivíduos de 15 a 24 Anos,Indivíduos de 25 a 64 Anos,Indivíduos com 65 ou Mais Anos,geom_Length,geom_Area
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,31,231,6112200231,6,6,0,6,4,2,2,3,0,1,0,2,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.1048169399669,35813.81440371603
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,34,234,6112200234,20,20,0,20,15,5,2,7,6,5,0,1,20,20,13,7,8,8,12,0,13,10,3,9,3,25,12,13,2,1,15,7,2711.543796588234,241955.7151882751
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,35,235,6112200235,8,8,0,8,7,1,0,4,1,1,2,0,9,9,3,6,1,3,3,0,3,1,2,4,2,11,5,6,1,2,7,1,6376.49137210625,1169387.404205232
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,36,236,6112200236,6,6,0,6,5,1,0,2,3,1,0,1,6,6,4,2,3,4,4,0,4,3,1,4,2,11,6,5,1,3,3,4,6361.389470789467,2259186.290961677
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,37,237,6112200237,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,3,1,2,0,0,3,0,6107.890467005562,1632402.179483474
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,5,105,6112200105,9,9,0,9,5,4,1,1,5,1,1,0,10,10,10,0,4,8,8,1,10,6,4,7,3,25,14,11,5,2,11,7,1720.753251121878,62307.29354917765
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,6,106,6112200106,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,2,1,6,3,3,0,1,3,2,3241.277114001587,346476.4365942114
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,38,238,6112200238,16,16,0,16,12,4,3,5,5,3,0,0,17,17,10,7,6,9,10,0,10,6,4,8,3,26,14,12,5,1,11,9,1096.191897504455,62667.45610243333
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,22,122,6110100122,15,15,0,15,14,1,5,0,5,5,0,10,15,15,4,11,0,1,1,2,4,4,0,2,0,7,2,5,0,0,4,3,729.9061984080428,20743.08293674666
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,13,113,6110300113,3,3,0,3,3,0,0,3,0,0,0,1,3,3,1,2,0,1,1,0,1,0,1,1,1,5,4,1,0,2,2,1,454.6263199426727,10716.1929128679
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,23,123,6110100123,17,17,0,17,14,3,2,6,5,4,0,2,18,18,7,11,3,2,5,2,7,6,1,2,0,10,3,7,0,0,5,5,525.8646564004167,5234.44868001781
