,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Vila Velha de Ródão,834,0,59,80,202,295,…,…,147,29,0
Médio Tejo,41467,172,3290,4881,11740,13939,21,624,6056,669,20
Abrantes,5417,10,448,509,1476,1843,…,99,922,97,…
Alcanena,3540,…,265,470,1032,1144,0,55,517,42,…
Constância,883,…,67,114,238,303,0,…,128,…,0
Entroncamento,2911,…,100,203,817,1237,…,52,443,50,0
Ferreira do Zêzere,1566,47,176,268,391,493,0,17,153,18,0
Mação,961,5,120,147,359,251,0,8,68,3,0
Ourém,10516,69,1083,1428,2929,3126,8,159,1508,184,3
Sardoal,270,…,38,35,75,84,…,…,31,…,0
Sertã,2401,…,246,235,664,962,0,33,233,22,…
Tomar,5382,7,292,635,1423,1905,4,84,895,124,5
Torres Novas,6596,15,360,729,2023,2218,…,94,1045,96,…
