,Total expenditures on cultural and creative activities (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Cultural heritage, Total (Euros)","Current expenditures, of which, Cultural heritage, Museums  (Euros)","Current expenditures, of which, Libraries and archives, Total (Euros)","Current expenditures, of which, Libraries and archives, Libraries (Euros)","Current expenditures, of which, Performing arts, Total (Euros)","Current expenditures, of which, Performing arts, Music (Euros)","Current expenditures, of which, Performing arts, Multidisciplinary (Euros)","Current expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Current expenditures, of which, Interdisciplinary activities , Total (Euros)","Current expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Mirandela,630191,564484,71846,41200,123098,90663,26703,19742,0,0,162122,0
Mogadouro,1036120,546110,62035,28019,113874,100995,186471,67237,1733,77976,65010,65010
Vila Flor,484936,213303,2122,2122,75801,75801,27129,15551,0,6418,91884,20300
Vimioso,107364,73470,27975,0,3777,0,11495,0,0,0,0,0
Vinhais,500704,429351,133626,342,23800,0,123468,110997,0,0,114193,2300
Centro,111654493,85490817,14417788,10853519,19023593,15701257,20111855,6019372,4367211,3969514,22797102,12893349
Oeste,12574943,10143897,1961486,1588047,2076943,1781729,1812058,545640,386332,270782,3073611,1845681
Alcobaça,1484937,1105766,57034,57034,209116,209116,210724,53079,132566,0,574243,281726
Alenquer,758329,749929,197953,187931,245000,245000,28874,18928,0,0,251238,74626
Arruda dos Vinhos,413433,407412,60648,0,49625,49625,28698,21909,6789,0,77326,77326
Bombarral,182460,182460,102898,100395,21156,20166,7210,0,0,7210,49469,0
Cadaval,534826,371826,15000,15000,217768,95000,500,500,0,0,122768,122768
Caldas da Rainha,1640812,1549683,231179,218025,192026,192026,491576,29715,0,154116,631802,631802
Lourinhã,771143,662400,137073,55450,250654,144434,58700,21000,0,12000,170026,142134
Nazaré,1129977,1110423,153221,95759,123134,114914,324675,211602,78430,20422,343815,127402
Óbidos,137015,137015,77653,77653,59362,37979,0,0,0,0,0,0
Peniche,733522,701376,301591,213489,104119,68486,25693,7020,0,0,266556,26016
Sobral de Monte Agraço,1468288,714560,117149,117149,235175,235175,106949,8118,2214,77034,177949,44325
Torres Vedras,3320201,2451047,510087,450162,369808,369808,528459,173769,166333,0,408419,317556
Região de Aveiro,16760762,14484850,2442946,2415268,2397520,2039244,5534557,765291,1022098,1697525,3446764,1204578
Águeda,1620969,1567516,12359,8075,35734,35734,976041,0,181847,774048,533841,532414
Albergaria-a-Velha,1079944,1015652,18952,0,348082,234278,542309,80888,25000,141192,93206,93206
Anadia,528964,500354,132609,132609,166263,166263,8140,0,0,0,42104,42104
Aveiro,4641314,4361476,1129165,1124723,516527,496092,922572,175817,75350,397638,1706521,145524
Estarreja,1262432,1177500,129728,129728,171274,171274,671916,136657,0,12284,147129,61751
Ílhavo,2584866,1830828,639536,639536,404995,243252,629744,15144,603355,0,0,0
Murtosa,605643,230334,47297,47297,92308,30014,10991,2490,8501,0,59549,59549
Oliveira do Bairro,647687,548097,91535,91535,182972,182972,234311,0,100513,115977,21415,21415
Ovar,2908780,2463739,200278,200278,260192,260192,1264459,180275,27532,205276,614081,19697
Sever do Vouga,445143,354334,41487,41487,133430,133430,135924,40175,0,51110,27211,27211
Vagos,435020,435020,0,0,85743,85743,138150,133845,0,0,201707,201707
Região de Coimbra,21927673,18475942,2910483,2180330,4567923,3824562,4538719,2357917,304093,817811,4512883,3375730
Arganil,981663,635578,134091,64254,279075,218670,129304,37277,0,52422,50750,50750
Cantanhede,751466,725056,335922,165020,334279,233804,12708,0,0,0,35485,0
Coimbra,8173733,7007404,424294,424294,1223600,1139017,2411632,1745581,125115,65495,2094302,1786914
Condeixa-a-Nova,669749,629606,355219,355219,116660,116660,143111,46692,52995,0,13000,13000
Figueira da Foz,2889915,2717652,627509,610437,654911,465964,904627,277623,26539,483071,442144,165859
Góis,448828,392423,194476,26023,72600,72600,51544,0,0,38780,15982,3237
Lousã,1054271,715977,305292,291900,171824,171824,89345,0,0,68830,76186,76186
Mealhada,512811,504435,0,0,189072,82998,17194,6010,0,6099,75000,75000
Mira,590203,533203,64107,64107,95773,71588,0,0,0,0,369133,331552
Miranda do Corvo,278873,276123,0,0,157375,113395,55913,55913,0,0,24235,24235
Montemor-o-Velho,484123,465039,65528,0,189917,112885,52323,38201,0,0,100005,100005
Mortágua,359595,235736,7652,7370,115808,115808,62548,19976,0,20372,13499,6094
Oliveira do Hospital,1371899,579515,73312,26671,180245,180245,29206,0,6464,22742,291113,143505
Pampilhosa da Serra,598752,575070,57345,57345,36479,36479,133682,28102,35060,60000,155877,107265
Penacova,894550,822879,6011,5125,191674,158289,329714,44628,54906,0,193602,79750
Penela,855325,698998,124229,29355,95730,95730,35904,24416,0,0,405906,266964
Soure,498616,447947,53210,53210,265910,263816,13333,13333,0,0,105478,94228
Tábua,284105,284105,44732,0,140445,140445,38121,7565,3014,0,0,0
Vila Nova de Poiares,229196,229196,37554,0,56546,34345,28510,12600,0,0,51186,51186
Região de Leiria,13918543,8518806,1866640,1185741,1847170,1549964,1403691,386009,382612,324080,2608873,1453224
Alvaiázere,335453,197376,78347,78347,102832,102832,0,0,0,0,0,0
Ansião,370924,327397,33843,0,105809,98633,56017,21118,0,30749,101366,70245
Batalha,593287,581104,46871,46871,66335,66335,64441,44167,5658,0,279307,33634
Castanheira de Pêra,43632,43632,7057,0,36532,36532,0,0,0,0,0,0
Figueiró dos Vinhos,416879,416879,166140,166140,177012,143002,7905,525,0,0,0,0
Leiria,7007546,3399641,927036,434557,544083,544083,301914,0,183093,118821,1409482,962761
Marinha Grande,1470781,1232423,164399,132868,169821,97526,511810,277577,144732,28551,300295,72500
Pedrógão Grande,324056,324056,0,0,122819,87518,59174,2460,2706,53580,35180,35180
Pombal,2694339,1343292,341909,263578,274353,162728,402430,40162,46423,92379,194082,186426
Porto de Mós,661646,653006,101038,63380,247574,210775,0,0,0,0,289161,92478
Viseu Dão Lafões,9655480,8554033,1126370,837947,2317789,1954124,2688607,451064,1004034,471046,1454539,883845
Aguiar da Beira,157820,132760,0,0,95500,95500,4858,4858,0,0,0,0
Carregal do Sal,215291,215291,44944,44944,74996,74996,10423,10423,0,0,84810,84810
Castro Daire,471833,408200,15443,13603,195564,177665,4180,1500,2030,0,159000,159000
Mangualde,544082,544082,16387,0,347414,263555,145501,137416,1298,0,1672,1672
Nelas,167775,167775,0,0,60925,60925,83600,0,50000,0,23250,23250
Oliveira de Frades,287908,285411,48197,48197,154714,137789,708,708,0,0,76636,57500
