,"Média de alunas/os matriculadas/os por computador, Total (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 1º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 2º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino secundário, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Total, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 1º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 2º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino secundário, 3º Ciclo (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Lisboa,2.3,2.1,2.1,2.2,2.7,2.4,2.3,2.2,2.3,2.8
Loures,1.8,1.8,1.7,1.7,2.2,1.9,1.9,1.7,1.8,2.2
Mafra,2.8,2.6,2.6,2.7,3.4,2.8,2.7,2.6,2.7,3.4
Moita,1.9,1.8,1.6,1.8,2.6,1.9,1.8,1.6,1.8,2.6
Montijo,2.4,2.5,2.2,2.4,2.6,2.6,2.6,2.2,2.4,3.2
Odivelas,2.2,2,2.2,2.3,2.7,2.4,2.1,2.3,2.5,2.9
Oeiras,2.3,2.1,1.7,2.5,3.3,2.4,2.1,1.8,2.7,3.5
Palmela,2.4,2,2.1,2.6,3.6,2.5,2.1,2.2,2.7,3.6
Seixal,1.8,2,1.7,1.7,1.8,1.9,2.1,1.7,1.7,2.1
Sesimbra,2.5,2.1,2.4,2.6,3.6,2.7,2.1,2.5,2.8,4.5
Setúbal,2.1,1.8,1.9,2.3,2.6,2.2,1.9,1.9,2.3,2.7
Sintra,1.9,2,1.6,1.8,2.3,2,2,1.7,1.9,2.5
Vila Franca de Xira,2.2,2,2,2.2,2.7,2.2,2.1,2,2.2,2.9
Alentejo,1.7,1.6,1.5,1.7,2.1,1.8,1.7,1.6,1.7,2.1
Alentejo Litoral,1.7,1.7,1.6,1.6,2,1.7,1.8,1.6,1.6,2
Alcácer do Sal,1.5,1.1,1.6,1.8,1.9,1.5,1.1,1.6,1.8,1.9
Grândola,1.6,1.4,1.7,1.6,1.7,1.6,1.4,1.7,1.6,1.8
Odemira,1.8,1.7,1.4,1.5,2.9,1.8,1.7,1.4,1.5,2.9
Santiago do Cacém,1.7,2,1.7,1.5,1.6,1.7,2.3,1.7,1.5,1.6
Sines,2.1,2.4,1.9,1.9,2,2.1,2.4,1.9,1.9,2
Baixo Alentejo,1.7,1.6,1.4,1.6,2.2,1.7,1.7,1.4,1.6,2.2
Aljustrel,1.6,1.9,1.4,1.4,1.8,1.6,1.9,1.4,1.4,1.8
Almodôvar,1.7,2.4,1.7,1.5,1.5,1.8,2.9,1.7,1.5,1.5
Alvito,3,2,2.2,3,5,3,2,2.2,3,5
Barrancos,0.8,0.8,0.9,0.8,0,0.8,0.8,0.9,0.8,0
Beja,2.6,2.1,2.4,2.8,3.2,2.6,2.2,2.5,2.9,3.3
Castro Verde,1.8,1.4,1.1,1.9,5.6,2.1,2.2,1.1,2,5.6
Cuba,1.5,1,1,1.2,20,1.5,1,1,1.2,20
Ferreira do Alentejo,1.2,1.5,1,1.1,1.5,1.3,1.6,1,1.1,1.5
Mértola,1.1,1.4,1.1,1,1.1,1.1,1.4,1.1,1,1.1
Moura,1.3,1.4,0.9,1.2,1.6,1.3,1.4,0.9,1.3,1.7
Ourique,1.8,1.3,2,2.2,2,2,1.3,2.4,2.6,2.3
Serpa,1.3,1.4,1.2,1.1,1.3,1.3,1.5,1.2,1.1,1.3
Vidigueira,1.1,1,1.1,1,2.7,1.1,1,1.1,1,2.7
Lezíria do Tejo,1.8,1.7,1.6,1.7,2.3,1.9,1.8,1.7,1.8,2.4
Almeirim,1.8,1.4,1.9,2,2.6,1.8,1.4,1.9,2,2.6
