,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Grândola,484,484,0,280,280,0,0,446,412,0,0,34
Odemira,860,860,0,471,471,0,0,746,688,0,0,43
Santiago do Cacém,1027,1027,0,515,515,0,0,815,782,0,0,33
Sines,641,641,0,299,299,0,0,459,459,0,0,0
Baixo Alentejo,4472,4469,0,2345,2219,0,0,3648,3212,0,0,271
Aljustrel,316,316,0,164,161,0,0,233,191,0,0,29
Almodôvar,225,225,0,98,98,0,0,189,189,0,0,0
Alvito,69,69,0,32,32,0,0,100,64,0,0,36
Barrancos,47,47,0,21,21,0,0,56,56,0,0,0
Beja,1527,1527,0,856,792,0,0,1241,1144,0,0,80
Castro Verde,239,238,0,139,119,0,0,253,184,0,0,0
Cuba,169,169,0,86,86,0,0,152,112,0,0,40
Ferreira do Alentejo,279,279,0,128,128,0,0,162,148,0,0,0
Mértola,148,148,0,91,91,0,0,136,118,0,0,18
Moura,629,629,0,318,305,0,0,467,413,0,0,29
Ourique,151,151,0,64,56,0,0,141,128,0,0,13
Serpa,449,449,0,257,247,0,0,389,352,0,0,26
Vidigueira,224,222,0,91,83,0,0,129,113,0,0,0
Lezíria do Tejo,8728,8723,0,5016,4947,0,0,7630,7175,0,0,274
Almeirim,931,930,0,529,509,0,0,760,726,0,0,0
Alpiarça,196,196,0,125,125,0,0,188,188,0,0,0
Azambuja,818,818,0,464,449,0,0,679,659,0,0,20
