,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Terras de Trás-os-Montes,988.17,770.38,834.42,838.77,842.46,911.87,836.17,1315.02,1363.04,1598.07,2068.85
Alfândega da Fé,889.93,//,757.34,815.94,837.44,820.79,//,1406.24,1182.03,2448.39,//
Bragança,1046.87,799.19,825.7,845.42,860.94,921.14,888.69,1455.29,1414.61,1677.15,2069.33
Macedo de Cavaleiros,930.67,…,759.65,803.52,803.99,884.64,…,1124.23,1357.64,1441.13,…
Miranda do Douro,916.03,…,765.28,800.6,808.94,957.59,…,1790.3,1197.64,1296.74,//
Mirandela,1001.38,…,957.43,879.76,859.92,922.27,…,1240.67,1337.24,1587.39,2305.62
Mogadouro,920.96,720.76,865.45,880.79,846.23,882.91,//,1048.19,1188.6,1256.99,//
Vila Flor,969.79,817.71,848.24,827.6,881.52,939.04,//,1536.09,1359.22,1738.93,//
Vimioso,890.32,750.73,706.49,755.64,779.44,945.24,//,895.92,1251.64,1178.14,…
Vinhais,853.91,…,731.15,768.07,775.13,822.57,//,1292.64,1383.8,1227.49,…
Centro,1104.06,826.28,902.65,965.97,977.24,1043.86,1034.92,1565.96,1549.51,1631.05,2460.43
Oeste,1061.13,853.56,906.7,964.5,961.85,1031.67,1085.01,1572.72,1548.73,1689.17,1934.34
Alcobaça,1038.68,848.55,915.54,963.35,966.56,1017.72,765.3,1631.79,1408.62,1430.12,1450.3
Alenquer,1217.74,902.97,963.44,1056.21,1072.86,1162.28,2204.06,1906.26,2102.82,2232.06,2198.59
Arruda dos Vinhos,1107.84,761.5,928.8,953.3,964.09,1019.72,1006.63,1517.28,1670.44,1694.67,1739.37
Bombarral,967.68,740.4,855.51,891.17,879.64,987.9,…,1442.7,1395.07,1457.05,//
Cadaval,1017.51,832.83,882.33,912.4,937.69,976.39,…,1607.16,1517.4,1614.81,//
Caldas da Rainha,1019.26,748.59,830.78,942.02,954.08,978.78,1009.57,1367.85,1402.07,2063.53,1731.27
Lourinhã,999.69,1136.42,1035.86,1038.92,947.43,950.63,950.21,1269.38,1216.13,1167.86,//
Nazaré,1030.94,894.24,943.54,967.41,946.7,989.6,978,1249.53,1460.3,1343.83,//
Óbidos,1026.1,769.72,856.72,856.74,896.96,998.93,…,1508.32,1363.33,1493.23,2147.04
Peniche,995.17,779.74,891.48,901.25,930.41,976.75,964.63,1308.09,1470.28,1298.98,…
Sobral de Monte Agraço,1029.83,742.15,934.4,986.57,917.49,1053.74,…,1410.32,1551.82,1408.92,1727.32
Torres Vedras,1073.47,804.11,912.35,946.18,946.28,1060.63,955.24,1676.73,1621.45,1492.72,2203.72
Região de Aveiro,1165.87,826.23,930.31,994.24,1004.86,1084.95,969.59,1702.78,1671.23,1646.13,2577.6
