,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Flores,1090.75,1273.16,909.24,901.12,…,…,1114.44,1174.98,888.79,1088.89,1301.16,911.65
Lajes das Flores,984.11,1070.18,900.7,…,//,…,913.53,930.99,839.34,1001.09,1121.62,908.69
Santa Cruz das Flores,1138.99,1363.21,913.18,…,…,//,1250.54,1347.81,917.05,1126.12,1372.35,912.98
Corvo,1238.9,1272.51,1203.82,834.46,834.46,//,1210.93,1178.34,…,1284.99,1452.66,1189.18
Corvo,1238.9,1272.51,1203.82,834.46,834.46,//,1210.93,1178.34,…,1284.99,1452.66,1189.18
R. A. Madeira,1171.42,1240.17,1085.53,902.99,906.85,893.02,1206.18,1218.13,1132.26,1164.77,1259.71,1083.31
Calheta (R.A.M.),1217.43,1324.11,1005.48,1211.73,1199.68,…,1459.98,1445.31,1604.85,946.14,1013.47,903.39
Câmara de Lobos,1015.88,1044.25,962.83,936.66,892.36,1003.12,1111.9,1094.33,1230.52,949.37,990.91,909.49
Funchal,1238.74,1319.83,1148.14,926.46,945.12,862.71,1290.27,1307.42,1188.75,1229,1326.05,1146.21
Machico,1111.9,1185.66,996.08,755.07,748.52,…,1081.2,1092.69,1004.03,1134.46,1311.37,995.13
Ponta do Sol,873.45,892.29,847.59,788.81,768.15,807.4,939.67,925.82,1056.41,851.15,872.05,833.26
Porto Moniz,880.67,984.83,803.83,…,…,//,1123.62,1194.39,890.07,820.26,869.42,796.13
Ribeira Brava,956.57,997.9,906.45,//,//,//,939.29,962.52,787.32,963.61,1027.78,917.5
Santa Cruz,1066.1,1109.25,994.71,884.65,900.71,829.82,1055.87,1066.3,1006.23,1083.44,1156.57,999.06
Santana,906.12,980.58,853.36,842.34,733.49,…,970.06,1015.55,850.87,888.6,964.35,852.42
São Vicente,862.97,896.8,819.68,786.22,…,797.93,887.22,903.74,794.25,853.07,892.12,823.32
Porto Santo,1205.99,1386.24,994.87,…,…,…,1444.09,1473.83,903.34,1145.29,1338.3,997.5
