,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Condeixa-a-Nova,2172,1062,1110,17,11,6,703,466,237,1452,585,867
Figueira da Foz,13017,7578,5439,295,228,67,5817,4351,1466,6905,2999,3906
Góis,466,193,273,43,30,13,95,72,23,328,91,237
Lousã,2497,1377,1120,98,77,21,1147,725,422,1252,575,677
Mealhada,4224,2713,1511,50,24,26,1040,826,214,3134,1863,1271
Mira,1801,899,902,176,116,60,710,416,294,915,367,548
Miranda do Corvo,1095,506,589,86,59,27,231,170,61,778,277,501
Montemor-o-Velho,2830,1498,1332,198,115,83,972,717,255,1660,666,994
Mortágua,2406,1338,1068,178,148,30,1262,723,539,966,467,499
Oliveira do Hospital,3832,2041,1791,70,54,16,1785,1182,603,1977,805,1172
Pampilhosa da Serra,530,193,337,20,16,4,89,78,11,421,99,322
Penacova,1690,1081,609,37,32,5,659,557,102,994,492,502
Penela,1459,800,659,37,33,4,603,457,146,819,310,509
Soure,1794,853,941,147,83,64,609,409,200,1038,361,677
Tábua,2639,1275,1364,58,37,21,1621,830,791,960,408,552
Vila Nova de Poiares,1462,705,757,27,24,3,607,292,315,828,389,439
Região de Leiria,71472,41276,30196,1142,672,470,32502,23114,9388,37828,17490,20338
Alvaiázere,1027,647,380,26,…,…,338,…,…,663,340,323
Ansião,2132,1169,963,35,23,12,734,473,261,1363,673,690
Batalha,4248,2557,1691,67,32,35,2346,1578,768,1835,947,888
Castanheira de Pêra,401,160,241,16,…,…,163,…,…,222,65,157
Figueiró dos Vinhos,583,266,317,38,31,7,132,100,32,413,135,278
Leiria,36029,20505,15524,615,354,261,13937,10159,3778,21477,9992,11485
Marinha Grande,9975,6078,3897,19,…,…,6371,…,…,3585,1530,2055
Pedrógão Grande,448,213,235,20,…,…,82,…,…,346,127,219
Pombal,11871,6875,4996,241,126,115,5627,3967,1660,6003,2782,3221
Porto de Mós,4758,2806,1952,65,39,26,2772,1868,904,1921,899,1022
