,"Nurses per 1 000 inhabitants , No., 2019","Medical doctors per 1 000 inhabitants, No., 2019","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2019","Hospitalisations in hospitals per 1 000 inhabitants , No., 2018 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2018 Po","Medical appointments in hospitals per inhabitant, No., 2018 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2018 Po","Annual bed-occupancy rate in hospitals, %, 2018 Po"
Almeida,3.8,2.6,0.3,0,0,0,0,//
Belmonte,3.1,1.3,0.3,0,0,0,0,//
Celorico da Beira,3,0.9,0.6,0,0,0,0,//
Covilhã,11.1,5,0.5,203,21.3,2.8,5.7,78.7
Figueira de Castelo Rodrigo,4.7,1.8,0.5,0,0,0,0,//
Fornos de Algodres,3.8,3.3,0.4,0,0,0,0,//
Fundão,3.9,2.3,0.4,19.3,0,0.6,1.4,70.2
Gouveia,4.3,2.2,0.6,0,0,0,0,//
Guarda,17.6,7.3,0.3,…,…,…,...,…
Manteigas,5.3,2.3,0.7,0,0,0,0,//
Mêda,4.8,1.7,0.2,0,0,0,0,//
Pinhel,4.6,2.2,0.6,0,0,0,0,//
Sabugal,2.9,1.2,0.9,0,0,0,0,//
Seia,6.7,3.1,0.4,42.1,1.6,0.7,1.1,162.9
Trancoso,3.7,2.6,0.7,0,0,0,0,//
A. M. Lisboa,7.1,6.6,0.3,127.2,800.2,2.4,3.8,80.7
Alcochete,1.8,3.1,0.2,0,0,0,0,//
Almada,7.8,4.7,0.3,145.6,46.2,1.8,3.2,102.5
Amadora,6.7,3.1,0.2,…,…,…,...,…
Barreiro,9.9,3.5,0.3,177.1,12.2,2.1,4.8,83.6
Cascais,4.5,7.6,0.2,93.5,47.8,1.8,2.9,83.4
Lisboa,19.2,19.1,0.5,398.1,490,8.5,10.7,76
Loures,3.9,3.2,0.2,…,…,…,...,…
Mafra,2.5,2.4,0.2,0,0,0,0,//
Moita,2.4,1.2,0.2,0,0,0,0,//
Montijo,3.1,2.7,0.2,3.7,8.2,0.3,0.4,102.8
Odivelas,2.4,3,0.2,0,0,0,0,//
Oeiras,4.5,10,0.3,…,…,…,...,…
Palmela,2,3.3,0.2,0,0,0,0,//
Seixal,3,2.2,0.2,0,0,0,0,//
Sesimbra,2,2,0.2,0,0,0,0,//
Setúbal,11.5,5.2,0.3,…,…,…,...,…
Sintra,2.6,2.6,0.2,5.8,0,0,3.1,92.6
Vila Franca de Xira,5.1,1.8,0.2,117,31.4,1.2,2.2,102.3
Alentejo,6.8,3.1,0.5,73.3,117.1,1.1,2.2,81.8
Alentejo Litoral,4.6,2.1,0.4,52.5,6.2,0.8,1.2,91.9
Alcácer do Sal,3.1,0.9,0.4,0,0,0,0,//
Grândola,2.1,1.4,0.3,0,0,0,0,//
Odemira,2.2,1.1,0.5,0,0,0,0,//
Santiago do Cacém,9.8,3.2,0.4,170.5,6.2,2.6,4,91.9
Sines,2.3,2.9,0.2,0,0,0,0,//
Baixo Alentejo,7.8,2.7,0.5,68.1,14,0.8,1.8,78
Aljustrel,3.8,1.3,0.6,0,0,0,0,//
