,Total (N.º),"Main occupation, Managers (N.º)","Main occupation, Professionals (N.º)","Main occupation, Technicians and associate professionals (N.º)","Main occupation, Clerical support workers (N.º)","Main occupation, Service and sale workers (N.º)","Main occupation, Skilled agricultural, forestry, and fishery workers (N.º)","Main occupation, Craft and related trades workers (N.º)","Main occupation, Plant and machine operators, and assemblers (N.º)","Main occupation, Elementary occupations (N.º)"
Constância,883,27,60,143,73,126,0,149,95,210
Entroncamento,2898,76,317,356,338,718,17,513,356,207
Ferreira do Zêzere,1513,32,64,66,130,281,202,304,208,226
Mação,973,27,39,74,80,248,38,233,86,148
Ourém,11395,415,1105,941,1350,2962,114,2033,913,1559
Sardoal,286,5,14,29,20,83,7,37,22,69
Sertã,2319,118,145,158,223,602,46,477,275,273
Tomar,5567,142,717,611,570,1465,150,1048,329,534
Torres Novas,6966,226,615,663,1199,1467,76,995,1099,623
Vila de Rei,565,18,57,30,33,146,11,71,18,181
Vila Nova da Barquinha,518,27,23,36,48,170,10,45,61,97
Beiras e Serra da Estrela,35097,1343,3940,2898,3423,8630,586,4767,4695,4806
