,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Lagoa,1037,1037,0,576,548,25,0,895,822,0,0,60
Lagos,1302,1302,0,702,695,0,0,1181,1076,0,0,53
Loulé,3252,3252,0,1795,1779,0,0,2659,2376,0,0,250
Monchique,133,133,0,81,81,0,0,128,128,0,0,0
Olhão,1817,1817,0,1043,1035,0,0,1558,1465,0,0,69
Portimão,2498,2498,0,1378,1328,50,0,2192,2027,46,0,87
São Brás de Alportel,419,419,0,250,250,0,0,380,363,0,0,17
Silves,1407,1406,0,744,739,0,0,1095,1043,0,0,41
Tavira,929,929,0,531,529,0,0,769,690,0,0,69
Vila do Bispo,249,249,0,86,86,0,0,131,131,0,0,0
Vila Real de Santo António,702,701,0,444,436,0,0,754,668,0,0,64
R. A. Açores,10473,10169,0,5466,5105,0,0,8669,7576,0,0,534
Santa Maria,207,207,0,120,120,0,0,179,179,0,0,0
Vila do Porto,207,207,0,120,120,0,0,179,179,0,0,0
São Miguel,6448,6216,0,3413,3149,0,0,5495,4770,0,0,379
Lagoa (R.A.A.),607,598,0,371,329,0,0,616,525,0,0,0
Nordeste,165,158,0,103,103,0,0,154,145,0,0,0
Ponta Delgada,3211,3126,0,1748,1643,0,0,2907,2506,0,0,269
Povoação,226,226,0,148,148,0,0,230,204,0,0,26
Ribeira Grande,1812,1692,0,813,707,0,0,1187,1016,0,0,84
Vila Franca do Campo,427,416,0,230,219,0,0,401,374,0,0,0
Terceira,2102,2048,0,1097,1010,0,0,1621,1402,0,0,73
Angra do Heroísmo,1358,1310,0,732,669,0,0,1026,882,0,0,39
Vila da Praia da Vitória,744,738,0,365,341,0,0,595,520,0,0,34
Graciosa,163,163,0,84,84,0,0,114,93,0,0,21
Santa Cruz da Graciosa,163,163,0,84,84,0,0,114,93,0,0,21
São Jorge,293,288,0,156,156,0,0,261,237,0,0,24
Calheta (R.A.A.),120,120,0,67,67,0,0,120,111,0,0,9
Velas,173,168,0,89,89,0,0,141,126,0,0,15
Pico,523,523,0,245,245,0,0,398,383,0,0,15
