,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
Vila Pouca de Aguiar,4577,6734,9310,13252,2096,3370,1141,746,623,215
Tâmega e Sousa,4889,7287,9445,13023,61511,127185,47358,27418,19600,6762
Amarante,4701,6952,9445,13577,8650,15190,5586,3392,2933,1148
Baião,4716,6631,9200,12572,2883,5082,1731,1085,664,192
Castelo de Paiva,5010,7232,9546,12717,2217,4970,2051,1075,666,201
Celorico de Basto,4668,6856,9310,12308,2659,5035,1715,921,680,222
Cinfães,4360,6050,8555,11661,3282,5136,1512,914,635,177
Felgueiras,5390,7887,9699,12943,6995,19145,7748,3892,2682,973
Lousada,5065,7690,9486,13004,6810,15820,5860,3542,2292,623
Marco de Canaveses,4668,6822,9310,12835,8172,14653,5022,3216,2211,723
Paços de Ferreira,5093,7696,9393,12772,7805,18828,6605,3687,2584,923
Penafiel,5015,7634,9805,13852,9923,20793,8719,5203,3878,1427
Resende,3878,5766,8550,12050,2115,2533,809,491,375,153
Douro,4962,7589,10282,15729,25787,47740,20256,14062,12613,5653
Alijó,4562,6557,9079,12757,1906,3145,1088,682,508,138
Armamar,4760,6833,9310,12948,830,1524,552,328,214,112
Carrazeda de Ansiães,4616,6880,9388,13725,839,1429,560,345,291,98
Freixo de Espada à Cinta,5295,7615,9884,13575,//,//,//,//,//,//
Lamego,4955,7646,10489,16529,3496,6110,2610,1915,1761,949
Mesão Frio,4633,6457,9207,12492,640,1075,396,233,128,57
Moimenta da Beira,4895,7384,9790,14333,1267,2408,963,665,484,186
Murça,4560,6415,9245,13209,944,1496,556,337,284,80
Penedono,//,//,//,//,//,//,//,//,//,//
Peso da Régua,5066,7535,10160,15382,1984,4012,1601,1201,1000,344
Sabrosa,5093,7207,9596,13087,761,1741,684,401,260,86
Santa Marta de Penaguião,4080,6156,8962,12167,1272,1954,672,422,239,92
São João da Pesqueira,4456,6629,9155,12796,1172,1910,683,395,305,108
Sernancelhe,4748,7202,9310,12638,761,1434,545,321,177,64
Tabuaço,4582,6448,8984,12797,785,1315,413,242,216,80
Tarouca,4773,7415,9742,13553,999,1788,781,432,369,100
Torre de Moncorvo,4840,7223,9777,14288,1040,1914,800,495,420,145
Vila Nova de Foz Côa,4562,7048,9690,14342,1035,1641,684,502,366,121
Vila Real,5856,9279,12600,20869,5207,11043,5968,4748,5316,2802
Terras de Trás-os-Montes,5075,7891,10871,16735,14534,26866,12510,8975,8453,3592
Alfândega da Fé,4735,6764,9310,14061,700,1283,423,314,240,105
Bragança,6030,9388,12768,20309,3462,7291,4499,3617,3661,1759
Macedo de Cavaleiros,4586,6735,9524,14702,2427,3719,1380,924,879,387
Miranda do Douro,5374,8198,10745,15639,851,1809,868,580,500,160
Mirandela,5054,7916,10864,16652,2873,5265,2509,1739,1684,683
Mogadouro,4791,7200,9844,14457,1315,2272,966,592,524,231
Vila Flor,4655,6667,9310,13699,960,1670,556,409,308,110
Vimioso,4724,7085,9540,13649,657,1222,461,308,227,67
Vinhais,4751,6616,9310,13020,1289,2335,848,492,430,90
Centro,6190,9196,11990,17772,205229,561378,316087,243606,197687,87158
Oeste,6094,9081,11809,17472,35264,94010,51204,39261,32058,13387
Alcobaça,6353,9127,11600,16138,4716,14972,8583,6138,4121,1504
Alenquer,6583,9480,12562,17926,3644,10492,6664,5649,4188,1491
Arruda dos Vinhos,7104,10212,14162,22552,952,3029,1871,1666,1830,896
Bombarral,5571,8439,11013,16362,1437,3357,1693,1189,950,372
Cadaval,5633,8515,11189,16085,1442,3521,1722,1416,928,344
Caldas da Rainha,5973,8999,11794,18206,5342,12995,6762,5212,4661,2262
Lourinhã,5597,8533,11248,16889,3054,6905,3408,2666,2200,895
Nazaré,5687,8533,11095,15594,1740,4193,2288,1486,1125,391
Óbidos,5827,8700,11475,17100,1297,3122,1607,1118,1050,430
Peniche,5985,8804,11256,16530,2679,7456,3669,2686,2199,816
Sobral de Monte Agraço,6405,9315,12311,18494,905,2514,1464,1182,996,444
Torres Vedras,6108,9144,11951,18217,8056,21454,11473,8853,7810,3542
Região de Aveiro,6354,9345,12374,18138,33440,88091,55682,43308,34001,15526
Águeda,6392,9220,11664,16352,4051,12636,7859,5310,3570,1493
Albergaria-a-Velha,6420,9310,11982,16506,2127,6403,4097,3097,2000,662
Anadia,5930,8743,11360,16369,2788,7697,4063,2931,2192,865
Aveiro,7188,10566,14529,23031,6069,15792,11238,10336,10104,6009
Estarreja,6088,9242,12020,16814,2641,6300,4212,3269,2185,762
