,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Mourão,//,//,//,//,//,//
Portel,22.9,2.4,4.2,20.5,2.3,3.8
Redondo,25.4,2.5,4.6,22.3,2.3,4.1
Reguengos de Monsaraz,26,2.6,4.9,22.7,2.4,4.3
Vendas Novas,24.9,2.6,5.1,21.8,2.4,4.4
Viana do Alentejo,24.1,2.5,4.9,21.3,2.4,4.3
Vila Viçosa,23.8,2.3,4.4,20.8,2.2,3.9
Algarve,29.1,3.2,6.9,25.6,2.9,6.1
Albufeira,28.6,3.1,6.8,25.3,2.9,6.2
Alcoutim,//,//,//,//,//,//
Aljezur,29.2,3,6.6,26.2,2.8,6
Castro Marim,27,2.9,5.7,24.1,2.7,5.1
Faro,30.2,3.4,7.3,26.1,3,6.1
Lagoa,29.1,3.2,7.5,25.9,3,7.2
Lagos,29.6,3.1,7.3,26,2.9,6.6
Loulé,30.5,3.3,7.8,26.9,3,7
Monchique,25.7,2.7,5.2,23,2.5,4.6
Olhão,27.1,3,6.2,24,2.8,5.4
Portimão,28.5,3.1,6.4,24.9,2.8,5.5
São Brás de Alportel,28.9,3.2,7,25.5,2.9,6.1
Silves,26.1,2.9,5.6,23.1,2.7,5
Tavira,30.3,3.3,7.6,26.7,3,6.8
Vila do Bispo,27.1,2.9,5.9,23.9,2.7,5.3
Vila Real de Santo António,26.8,2.9,5.8,23.7,2.7,5.1
R. A. Açores,30.7,3.4,7.8,27.9,3.2,7
Santa Maria,38.2,4,11.1,34.1,3.7,9.9
Vila do Porto,38.2,4,11.1,34.1,3.7,9.9
São Miguel,31.8,3.6,8.5,29,3.4,7.6
Lagoa (R.A.A.),31.9,3.4,8.7,29.2,3.3,8
Nordeste,28.7,3.2,7.8,27.1,3.1,7.5
Ponta Delgada,31.5,3.7,7.5,28.4,3.4,6.6
Povoação,29.8,3.5,9.6,28.3,3.4,9.1
Ribeira Grande,29.5,3.2,8.2,27.4,3.1,7.7
Vila Franca do Campo,30.9,3.3,8.6,28.9,3.2,8.1
Terceira,29.1,3.2,6.8,26.4,3,6.2
Angra do Heroísmo,30.1,3.3,7.2,27.2,3.1,6.5
Vila da Praia da Vitória,27,3,6.2,24.7,2.8,5.7
Graciosa,28.5,3,7.4,26.4,2.9,6.7
Santa Cruz da Graciosa,28.5,3,7.4,26.4,2.9,6.7
São Jorge,27.6,3,8.7,25.8,2.9,8.7
Calheta (R.A.A.),26.7,3,9.3,25.4,2.9,9.1
Velas,28,3,8.3,26,2.9,8.2
Pico,26.9,2.8,6.3,24.6,2.7,5.8
Lajes do Pico,26.6,2.8,6.6,24.5,2.7,6
Madalena,25.9,2.7,5.8,23.6,2.6,5.3
São Roque do Pico,29.1,3.1,7,26.7,3,6.3
