,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Vila Nova de Famalicão,5671,5719,6440,3320,3295,3538,3143,1089,185,177,191,60
Vizela,5550,5725,6225,3204,3224,3546,3047,1003,193,196,192,62
A. M. Porto,6169,5434,7068,3668,3232,3416,3085,1082,181,176,185,58
Arouca,4407,4718,4968,2702,2839,3440,2498,1105,169,181,163,69
Espinho,5865,5637,6637,3586,3384,3751,3080,1121,185,186,184,60
Gondomar,5827,5207,6663,3568,3151,3277,3043,933,182,175,187,52
Maia,6662,5924,7659,3844,3340,3577,3160,1003,177,174,180,50
Matosinhos,7051,6069,8050,4182,3412,3593,3247,1101,183,178,187,53
Oliveira de Azeméis,5660,5533,6443,3256,3062,3198,2971,1449,179,169,185,76
Paredes,4819,4787,5601,2953,2887,3097,2758,1090,178,172,181,68
Porto,7240,5705,8306,4448,3358,3437,3282,994,182,177,186,48
Póvoa de Varzim,5206,5011,6000,3106,3013,3077,2958,1004,172,159,183,58
Santa Maria da Feira,5364,5128,6095,3122,3155,3466,2944,1261,180,182,180,68
Santo Tirso,5491,5427,6161,3317,3250,3472,3116,995,190,185,194,57
São João da Madeira,5915,5320,6721,3447,3008,3166,2890,1323,176,175,177,72
Trofa,6092,5705,6990,3439,3054,3192,2979,1055,179,164,187,58
Vale de Cambra,5552,5669,6323,3124,2890,3358,2664,1673,166,165,166,84
Valongo,5848,5264,6709,3507,3118,3300,2981,980,176,169,181,54
Vila do Conde,5565,5341,6453,3189,3069,3124,3025,1141,173,156,187,61
Vila Nova de Gaia,6423,5430,7358,3747,3358,3572,3181,1035,186,184,188,54
