,"Total, Total (milhares de euros)","Total, Pensions on 31 Dec. (milhares de euros)","Disability, Total (milhares de euros)","Disability, Pensions on 31 Dec. (milhares de euros)","Old age, Total (milhares de euros)","Old age, Pensions on 31 Dec. (milhares de euros)","Survival , Total (milhares de euros)","Survival , Pensions on 31 Dec. (milhares de euros)"
Vila Nova de Famalicão,242909,239557,16560,16322,193643,191210,32705,32025
Vizela,40273,39681,3036,3016,32485,32033,4753,4632
A. M. Porto,3346694,3296270,145640,143289,2726526,2688624,474528,464357
Arouca,31246,30717,2245,2214,24586,24189,4416,4314
Espinho,70198,68960,2836,2748,57293,56394,10069,9818
Gondomar,295366,290838,13833,13662,237133,233771,44400,43405
Maia,246278,242921,9709,9481,202425,199940,34144,33500
Matosinhos,386746,380838,14150,13904,318582,314068,54014,52867
Oliveira de Azeméis,131595,129875,5994,5929,108039,106716,17562,17229
Paredes,96848,95295,7689,7590,73408,72277,15751,15427
Porto,569780,560355,17137,16808,466344,459290,86299,84257
Póvoa de Varzim,94957,93429,5333,5266,75515,74351,14109,13812
Santa Maria da Feira,237338,233988,12959,12792,193148,190601,31231,30595
Santo Tirso,147092,145014,7466,7349,120115,118510,19511,19156
São João da Madeira,43824,43249,1903,1868,36230,35810,5691,5571
Trofa,70664,69825,3912,3840,57610,56991,9143,8994
Vale de Cambra,45805,45142,2565,2534,37237,36718,6003,5890
Valongo,157495,155188,8287,8175,126483,124752,22726,22261
Vila do Conde,137956,136038,7294,7174,110615,109213,20048,19650
Vila Nova de Gaia,583504,574597,22330,21955,481763,475030,79411,77612
